
RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
4.662,-0.263,1.897,8.506,1.30,5.77,1011.78,32.56,0
4.568,-0.506,1.982,8.130,0.98,8.25,1031.42,32.62,0
4.786,0.171,2.075,9.357,2.28,6.67,1048.57,32.62,0
4.896,0.234,1.988,8.882,2.48,9.48,1413.89,32.62,0
4.422,-0.103,2.002,8.493,0.53,5.98,778.02,32.62,0
4.708,-0.687,1.966,8.745,1.44,5.97,916.84,32.62,0
4.529,-0.440,2.009,8.507,0.54,6.91,1029.44,32.69,0
4.573,0.048,2.225,9.607,0.91,6.48,999.21,32.69,0
4.371,-0.728,1.911,7.756,0.29,6.69,957.95,32.69,0
4.347,-0.176,2.049,8.651,0.91,7.59,997.19,32.75,0
4.484,0.055,2.278,9.710,0.29,7.38,1052.93,32.75,0
4.531,0.061,2.160,9.388,0.68,5.40,1009.87,32.75,0
4.654,-0.736,1.929,8.269,0.70,5.89,1075.27,32.75,0
4.760,-0.333,2.010,8.613,0.55,7.72,1136.32,32.75,0
4.438,-0.573,1.867,8.163,0.85,6.07,1010.10,32.81,0
4.654,-0.972,1.901,7.941,0.86,6.70,1073.57,32.81,0
4.527,-0.009,2.076,8.911,0.86,6.68,1016.55,32.81,0
4.604,0.105,2.023,8.524,0.72,6.44,1007.81,32.81,0
5.012,0.011,2.036,9.830,0.72,6.69,1148.43,32.81,0
4.524,0.157,2.135,8.871,1.34,10.33,1058.55,32.88,0
5.099,-0.395,1.891,8.592,2.16,6.66,968.91,32.88,0
4.623,0.094,1.956,8.396,1.59,8.06,1027.26,32.88,0
3.316,-0.441,1.538,4.787,2.16,6.51,617.33,32.94,0
4.547,-1.309,1.647,6.863,0.71,9.81,945.73,32.88,0
4.915,-0.183,2.042,9.689,1.84,4.36,1057.58,32.94,0
4.399,-1.243,1.817,7.584,0.47,8.46,892.54,32.94,0
5.236,-0.709,1.682,8.373,1.22,7.65,1067.25,32.94,0
